feature,coef,model_id
adverb_ratio_pr,0.07372031900792293,run_001
adverb_ratio_qa,-0.058208976876245246,run_001
adverb_ratio_zscore_pr,0.0843958403850296,run_001
adverb_ratio_zscore_qa,0.08803179805705652,run_001
automated_readability_pr,0.07586941437300324,run_001
automated_readability_qa,-0.06480019312401199,run_001
coleman_liau_pr,0.04705792830368323,run_001
coleman_liau_qa,0.08824031132780089,run_001
dale_chall_pr,0.07209793803649425,run_001
dale_chall_qa,0.01987064964746797,run_001
flesch_ease_pr,0.02026358616687396,run_001
flesch_ease_qa,0.07265698190979009,run_001
flesch_kincaid_pr,-0.06019891959257497,run_001
flesch_kincaid_qa,-0.13580431240090912,run_001
gunning_fog_pr,-0.04527436796723859,run_001
gunning_fog_qa,-0.026087713577263978,run_001
lm_complexity_pr,-0.020419210110431074,run_001
lm_complexity_qa,0.1616233924691971,run_001
lm_constraining_pr,0.0512699059425109,run_001
lm_constraining_qa,0.06206784484736104,run_001
lm_litigious_pr,0.052141362976807056,run_001
lm_litigious_qa,0.20608178643760508,run_001
lm_litigious_zscore_pr,-0.12288753833499463,run_001
lm_litigious_zscore_qa,0.006088983883303388,run_001
lm_modal_strong_pr,-0.10046425512670934,run_001
lm_modal_strong_qa,0.11751895491216213,run_001
lm_modal_strong_zscore_pr,-0.04286302998623669,run_001
lm_modal_strong_zscore_qa,0.11575467767325687,run_001
lm_modal_weak_pr,-0.12799135778957574,run_001
lm_modal_weak_qa,-0.23809166614023997,run_001
lm_modal_weak_zscore_pr,0.06229064839170271,run_001
lm_modal_weak_zscore_qa,0.05214918730950372,run_001
lm_negative_pr,-0.24185166348667517,run_001
lm_negative_qa,-0.06861691301695994,run_001
lm_net_sentiment_pr,0.2668617993168259,run_001
lm_net_sentiment_qa,0.006483695710457677,run_001
lm_net_sentiment_zscore_pr,0.06710830879737885,run_001
lm_net_sentiment_zscore_qa,0.1182997747982837,run_001
lm_polarity_pr,0.10363994202718996,run_001
lm_polarity_qa,0.02206810096553299,run_001
lm_positive_pr,0.19878912194793705,run_001
lm_positive_qa,-0.050504004878709166,run_001
lm_subjectivity_pr,0.15278459366911074,run_001
lm_subjectivity_qa,0.07385812038823354,run_001
lm_subjectivity_zscore_pr,-0.05358472429239145,run_001
lm_subjectivity_zscore_qa,-0.09473844994335266,run_001
lm_uncertainty_pr,0.26414405627747867,run_001
lm_uncertainty_qa,0.19945056127830973,run_001
lm_uncertainty_zscore_pr,-0.1312678511077836,run_001
lm_uncertainty_zscore_qa,0.03225606612577467,run_001
n_sentences_pr,0.09066646240987278,run_001
n_sentences_qa,-0.1625886262783788,run_001
n_words_pr,-0.10490650824621785,run_001
n_words_qa,-0.03656034134035642,run_001
pronoun_plural_ratio_pr,0.018604007434545506,run_001
pronoun_plural_ratio_qa,-0.047370284957680184,run_001
pronoun_plural_ratio_zscore_pr,-0.007106837241771231,run_001
pronoun_plural_ratio_zscore_qa,0.023038637790606366,run_001
smog_index_pr,0.07533637865314623,run_001
smog_index_qa,0.1266474433485419,run_001
words_per_sentence_pr,-0.1965513259709384,run_001
words_per_sentence_qa,-0.02237429947975095,run_001
words_per_sentence_zscore_pr,0.02747900591926966,run_001
words_per_sentence_zscore_qa,-0.07039619831986405,run_001
adverb_ratio_pr,0.09978745326042783,run_002
adverb_ratio_qa,-0.08823165944167081,run_002
adverb_ratio_zscore_pr,0.0810256925876522,run_002
adverb_ratio_zscore_qa,0.12187638510533119,run_002
automated_readability_pr,0.2598363623981908,run_002
automated_readability_qa,-0.0924282036071062,run_002
coleman_liau_pr,-0.01070675657470891,run_002
coleman_liau_qa,0.14716678632258684,run_002
dale_chall_pr,0.08864045757120909,run_002
dale_chall_qa,0.04092867924946214,run_002
flesch_ease_pr,0.0894934244729906,run_002
flesch_ease_qa,0.1539072926473781,run_002
flesch_kincaid_pr,-0.07482168138113175,run_002
flesch_kincaid_qa,-0.26359074978261005,run_002
gunning_fog_pr,-0.1354755946342645,run_002
gunning_fog_qa,-0.037626801889195455,run_002
lm_complexity_pr,-0.040096482202858476,run_002
lm_complexity_qa,0.17018279101894612,run_002
lm_constraining_pr,0.06926851569746838,run_002
lm_constraining_qa,0.060155727154222835,run_002
lm_litigious_pr,0.05423305115412111,run_002
lm_litigious_qa,0.24846164353021935,run_002
lm_litigious_zscore_pr,-0.13198708811008977,run_002
lm_litigious_zscore_qa,-0.00775238512739379,run_002
lm_modal_strong_pr,-0.14506744509091585,run_002
lm_modal_strong_qa,0.16085191189586348,run_002
lm_modal_strong_zscore_pr,-0.024956163300808566,run_002
lm_modal_strong_zscore_qa,0.10039596996510106,run_002
lm_modal_weak_pr,-0.19546547608875992,run_002
lm_modal_weak_qa,-0.3417645789896108,run_002
lm_modal_weak_zscore_pr,0.1039540404049398,run_002
lm_modal_weak_zscore_qa,0.097852708953567,run_002
lm_negative_pr,-0.33865566123128804,run_002
lm_negative_qa,-0.07876035718033404,run_002
lm_net_sentiment_pr,0.33742317834089314,run_002
lm_net_sentiment_qa,-0.008659103871160497,run_002
lm_net_sentiment_zscore_pr,0.0018366885111122065,run_002
lm_net_sentiment_zscore_qa,0.15630075166850999,run_002
lm_polarity_pr,0.06515829619036236,run_002
lm_polarity_qa,0.027142918255521075,run_002
lm_positive_pr,0.22848307320503475,run_002
lm_positive_qa,-0.08260478305356907,run_002
lm_subjectivity_pr,0.17687549843814085,run_002
lm_subjectivity_qa,0.09618991039652472,run_002
lm_subjectivity_zscore_pr,-0.05224848365220409,run_002
lm_subjectivity_zscore_qa,-0.10329793756234534,run_002
lm_uncertainty_pr,0.38546462563175554,run_002
lm_uncertainty_qa,0.27738927534472346,run_002
lm_uncertainty_zscore_pr,-0.21078202019082193,run_002
lm_uncertainty_zscore_qa,0.030970459407445135,run_002
n_sentences_pr,0.20583484820099385,run_002
n_sentences_qa,-0.2916000246370251,run_002
n_words_pr,-0.23557718422907306,run_002
n_words_qa,0.042095792033560876,run_002
pronoun_plural_ratio_pr,-0.019068577843277614,run_002
pronoun_plural_ratio_qa,-0.06802621098167062,run_002
pronoun_plural_ratio_zscore_pr,0.010885229095802309,run_002
pronoun_plural_ratio_zscore_qa,0.038278882692744085,run_002
smog_index_pr,0.13457540419665664,run_002
smog_index_qa,0.263476075102379,run_002
words_per_sentence_pr,-0.2896399084733946,run_002
words_per_sentence_qa,0.022010540736662233,run_002
words_per_sentence_zscore_pr,0.07721616183573128,run_002
words_per_sentence_zscore_qa,-0.1039201739384751,run_002
adverb_ratio_pr,0.13093405562097843,run_003
adverb_ratio_qa,-0.1106656511038754,run_003
adverb_ratio_zscore_pr,0.06654884672909454,run_003
adverb_ratio_zscore_qa,0.15078785693758276,run_003
automated_readability_pr,0.6173015739050178,run_003
automated_readability_qa,-0.07774709253772248,run_003
coleman_liau_pr,-0.18225975189921928,run_003
coleman_liau_qa,0.198970415184948,run_003
dale_chall_pr,0.1352538432166104,run_003
dale_chall_qa,0.06318448325121441,run_003
flesch_ease_pr,0.15235374430984785,run_003
flesch_ease_qa,0.23493623606970013,run_003
flesch_kincaid_pr,-0.049172888839310584,run_003
flesch_kincaid_qa,-0.44183009519436434,run_003
gunning_fog_pr,-0.3251447442647791,run_003
gunning_fog_qa,-0.05322992922376185,run_003
lm_complexity_pr,-0.06225430071508406,run_003
lm_complexity_qa,0.17393366084360412,run_003
lm_constraining_pr,0.08307645655247539,run_003
lm_constraining_qa,0.055031877968816624,run_003
lm_litigious_pr,0.053089818290597446,run_003
lm_litigious_qa,0.2754766635618481,run_003
lm_litigious_zscore_pr,-0.13789978946722803,run_003
lm_litigious_zscore_qa,-0.016695312763089772,run_003
lm_modal_strong_pr,-0.17721341484516695,run_003
lm_modal_strong_qa,0.2007303876196884,run_003
lm_modal_strong_zscore_pr,-0.004921907334773233,run_003
lm_modal_strong_zscore_qa,0.07924243191100332,run_003
lm_modal_weak_pr,-0.24085665646465215,run_003
lm_modal_weak_qa,-0.4151389937888333,run_003
lm_modal_weak_zscore_pr,0.13694501858806146,run_003
lm_modal_weak_zscore_qa,0.13702093616432306,run_003
lm_negative_pr,-0.41242638840607865,run_003
lm_negative_qa,-0.08023507951640853,run_003
lm_net_sentiment_pr,0.3899408334833221,run_003
lm_net_sentiment_qa,-0.018546184009509543,run_003
lm_net_sentiment_zscore_pr,-0.044421036251200724,run_003
lm_net_sentiment_zscore_qa,0.17985365281360013,run_003
lm_polarity_pr,0.02067305550504224,run_003
lm_polarity_qa,0.03506470022455874,run_003
lm_positive_pr,0.24938584075709275,run_003
lm_positive_qa,-0.09903064197993754,run_003
lm_subjectivity_pr,0.18698593727593385,run_003
lm_subjectivity_qa,0.12243200701097139,run_003
lm_subjectivity_zscore_pr,-0.04116970606982044,run_003
lm_subjectivity_zscore_qa,-0.12050584038254863,run_003
lm_uncertainty_pr,0.4637781604178435,run_003
lm_uncertainty_qa,0.33776290464127495,run_003
lm_uncertainty_zscore_pr,-0.2651553508074678,run_003
lm_uncertainty_zscore_qa,0.022047810195003546,run_003
n_sentences_pr,0.43394009278537854,run_003
n_sentences_qa,-0.4457092789270144,run_003
n_words_pr,-0.48725438286449074,run_003
n_words_qa,0.15023110195205516,run_003
pronoun_plural_ratio_pr,-0.0676622059913375,run_003
pronoun_plural_ratio_qa,-0.08352331052713596,run_003
pronoun_plural_ratio_zscore_pr,0.030758769793269466,run_003
pronoun_plural_ratio_zscore_qa,0.052287906144875655,run_003
smog_index_pr,0.21667012781221237,run_003
smog_index_qa,0.41875140509076925,run_003
words_per_sentence_pr,-0.42467707952425954,run_003
words_per_sentence_qa,0.05460321212309305,run_003
words_per_sentence_zscore_pr,0.11640813813075968,run_003
words_per_sentence_zscore_qa,-0.13013380737388058,run_003
adverb_ratio_pr,0.14628591331419857,run_004
adverb_ratio_qa,-0.11800580419583453,run_004
adverb_ratio_zscore_pr,0.05846093956429714,run_004
adverb_ratio_zscore_qa,0.16291510011717295,run_004
automated_readability_pr,0.9974362681389162,run_004
automated_readability_qa,0.009188971295333533,run_004
coleman_liau_pr,-0.4220480088574,run_004
coleman_liau_qa,0.19535180029837848,run_004
dale_chall_pr,0.18469332401084315,run_004
dale_chall_qa,0.07445899896491955,run_004
flesch_ease_pr,0.053225766219836525,run_004
flesch_ease_qa,0.2006171972168366,run_004
flesch_kincaid_pr,-0.12710648838483957,run_004
flesch_kincaid_qa,-0.6838048263210647,run_004
gunning_fog_pr,-0.5668840411314737,run_004
gunning_fog_qa,-0.011757469768882206,run_004
lm_complexity_pr,-0.07974820060180908,run_004
lm_complexity_qa,0.1777238574056152,run_004
lm_constraining_pr,0.08849408878007238,run_004
lm_constraining_qa,0.049036441958032174,run_004
lm_litigious_pr,0.053524662710178125,run_004
lm_litigious_qa,0.2870513917165502,run_004
lm_litigious_zscore_pr,-0.14102064983021254,run_004
lm_litigious_zscore_qa,-0.02183675514488263,run_004
lm_modal_strong_pr,-0.1913153143380729,run_004
lm_modal_strong_qa,0.21847429136275015,run_004
lm_modal_strong_zscore_pr,0.0067795341063307014,run_004
lm_modal_strong_zscore_qa,0.06931268572751098,run_004
lm_modal_weak_pr,-0.24770522429684907,run_004
lm_modal_weak_qa,-0.45100243490622527,run_004
lm_modal_weak_zscore_pr,0.15054869817722497,run_004
lm_modal_weak_zscore_qa,0.15883682005182764,run_004
lm_negative_pr,-0.44260578849762605,run_004
lm_negative_qa,-0.09061517943845225,run_004
lm_net_sentiment_pr,0.41294147230116285,run_004
lm_net_sentiment_qa,-0.010755680883309764,run_004
lm_net_sentiment_zscore_pr,-0.06821987606872393,run_004
lm_net_sentiment_zscore_qa,0.18992762753836476,run_004
lm_polarity_pr,0.003213900698420172,run_004
lm_polarity_qa,0.015980060086546777,run_004
lm_positive_pr,0.26002241524755443,run_004
lm_positive_qa,-0.09625189876311048,run_004
lm_subjectivity_pr,0.1895765172703276,run_004
lm_subjectivity_qa,0.14087313178511357,run_004
lm_subjectivity_zscore_pr,-0.032588073191592515,run_004
lm_subjectivity_zscore_qa,-0.13373481184962396,run_004
lm_uncertainty_pr,0.4882519060685272,run_004
lm_uncertainty_qa,0.37506679499684054,run_004
lm_uncertainty_zscore_pr,-0.28492961327418803,run_004
lm_uncertainty_zscore_qa,0.009501608066185677,run_004
n_sentences_pr,0.7026182142125951,run_004
n_sentences_qa,-0.5629877829643444,run_004
n_words_pr,-0.7797455285469662,run_004
n_words_qa,0.23801608438445204,run_004
pronoun_plural_ratio_pr,-0.11605078872523437,run_004
pronoun_plural_ratio_qa,-0.09157353372687957,run_004
pronoun_plural_ratio_zscore_pr,0.04848787853548361,run_004
pronoun_plural_ratio_zscore_qa,0.05942354400978845,run_004
smog_index_pr,0.32807605694043396,run_004
smog_index_qa,0.477544514119234,run_004
words_per_sentence_pr,-0.48682145134869786,run_004
words_per_sentence_qa,0.0443783691734424,run_004
words_per_sentence_zscore_pr,0.13522764755952627,run_004
words_per_sentence_zscore_qa,-0.13717670168068102,run_004
adverb_ratio_pr,0.1560819105037325,run_005
adverb_ratio_qa,-0.126275261082963,run_005
adverb_ratio_zscore_pr,0.052275504614609024,run_005
adverb_ratio_zscore_qa,0.1733136963635842,run_005
automated_readability_pr,1.4390155483331832,run_005
automated_readability_qa,0.21523751384517628,run_005
coleman_liau_pr,-0.7429403162484478,run_005
coleman_liau_qa,0.16003513829045493,run_005
dale_chall_pr,0.22036568440791202,run_005
dale_chall_qa,0.07768459674306827,run_005
flesch_ease_pr,-0.28732163409605854,run_005
flesch_ease_qa,0.0757415598282234,run_005
flesch_kincaid_pr,-0.49422624247461916,run_005
flesch_kincaid_qa,-1.0971193333789853,run_005
gunning_fog_pr,-0.7638260643099387,run_005
gunning_fog_qa,0.16699597115823764,run_005
lm_complexity_pr,-0.0873479601939689,run_005
lm_complexity_qa,0.18106692616696446,run_005
lm_constraining_pr,0.09425018552613587,run_005
lm_constraining_qa,0.04620793178779273,run_005
lm_litigious_pr,0.06377344719406985,run_005
lm_litigious_qa,0.2785777889331252,run_005
lm_litigious_zscore_pr,-0.14894075483470567,run_005
lm_litigious_zscore_qa,-0.01523602085136921,run_005
lm_modal_strong_pr,-0.19884619814214155,run_005
lm_modal_strong_qa,0.22649928523808463,run_005
lm_modal_strong_zscore_pr,0.016030556494353535,run_005
lm_modal_strong_zscore_qa,0.06788135787560545,run_005
lm_modal_weak_pr,-0.24906736664357568,run_005
lm_modal_weak_qa,-0.4623440265485763,run_005
lm_modal_weak_zscore_pr,0.1573521253196302,run_005
lm_modal_weak_zscore_qa,0.16642100038556384,run_005
lm_negative_pr,-0.45297806023690784,run_005
lm_negative_qa,-0.0891508596891487,run_005
lm_net_sentiment_pr,0.42100908571051693,run_005
lm_net_sentiment_qa,-0.015586151212542226,run_005
lm_net_sentiment_zscore_pr,-0.07978458698797637,run_005
lm_net_sentiment_zscore_qa,0.19302229181589214,run_005
lm_polarity_pr,0.0011470054684590088,run_005
lm_polarity_qa,0.032847555097280094,run_005
lm_positive_pr,0.263901744527831,run_005
lm_positive_qa,-0.10235303158362805,run_005
lm_subjectivity_pr,0.19322973968597487,run_005
lm_subjectivity_qa,0.14857063620717845,run_005
lm_subjectivity_zscore_pr,-0.02751301984041762,run_005
lm_subjectivity_zscore_qa,-0.14142241794713362,run_005
lm_uncertainty_pr,0.4986263433659408,run_005
lm_uncertainty_qa,0.3986658594824185,run_005
lm_uncertainty_zscore_pr,-0.2920711847887486,run_005
lm_uncertainty_zscore_qa,-0.0015634324250727869,run_005
n_sentences_pr,0.8761426421557683,run_005
n_sentences_qa,-0.6305298476423813,run_005
n_words_pr,-0.9699278699668276,run_005
n_words_qa,0.28877108663565365,run_005
pronoun_plural_ratio_pr,-0.15232853723675896,run_005
pronoun_plural_ratio_qa,-0.09558132381383633,run_005
pronoun_plural_ratio_zscore_pr,0.05744044365575809,run_005
pronoun_plural_ratio_zscore_qa,0.06610115892911195,run_005
smog_index_pr,0.4306927474812027,run_005
smog_index_qa,0.4297134961249391,run_005
words_per_sentence_pr,-0.4897846102963929,run_005
words_per_sentence_qa,0.00020675438377484433,run_005
words_per_sentence_zscore_pr,0.1410527502651992,run_005
words_per_sentence_zscore_qa,-0.1331215128658763,run_005
adverb_ratio_pr,0.10039967399437323,run_006
adverb_ratio_qa,-0.04333711353212143,run_006
adverb_ratio_zscore_pr,0.08640653872425058,run_006
adverb_ratio_zscore_qa,0.08366992903279202,run_006
automated_readability_pr,0.1015319148263253,run_006
automated_readability_qa,-0.0425907218527368,run_006
coleman_liau_pr,0.055995435612533194,run_006
coleman_liau_qa,0.07443935534116465,run_006
dale_chall_pr,0.10669774267326426,run_006
dale_chall_qa,0.04653334727003254,run_006
flesch_ease_pr,0.04236756289890259,run_006
flesch_ease_qa,0.11061466371076166,run_006
flesch_kincaid_pr,-0.09067816909394355,run_006
flesch_kincaid_qa,-0.16485563458881583,run_006
gunning_fog_pr,-0.06907358954742866,run_006
gunning_fog_qa,0.009209508893940408,run_006
lm_complexity_pr,-0.02811301525785243,run_006
lm_complexity_qa,0.16967259757147998,run_006
lm_constraining_pr,0.12553871030796154,run_006
lm_constraining_qa,0.0449593250361916,run_006
lm_litigious_pr,0.058102240463871024,run_006
lm_litigious_qa,0.25152066863312694,run_006
lm_litigious_zscore_pr,-0.13959603376136495,run_006
lm_litigious_zscore_qa,-0.003240204816087823,run_006
lm_modal_strong_pr,-0.14349210595210807,run_006
lm_modal_strong_qa,0.12394276905109815,run_006
lm_modal_strong_zscore_pr,-0.044923304628024754,run_006
lm_modal_strong_zscore_qa,0.12986922994534378,run_006
lm_modal_weak_pr,-0.1536792360189561,run_006
lm_modal_weak_qa,-0.28117755731167243,run_006
lm_modal_weak_zscore_pr,0.06344446890334426,run_006
lm_modal_weak_zscore_qa,0.07452932758065998,run_006
lm_negative_pr,-0.2805032758149782,run_006
lm_negative_qa,-0.06806601157181422,run_006
lm_net_sentiment_pr,0.29963443140164003,run_006
lm_net_sentiment_qa,-0.004599878348031958,run_006
lm_net_sentiment_zscore_pr,0.01929654516495531,run_006
lm_net_sentiment_zscore_qa,0.12787526528316734,run_006
lm_polarity_pr,0.11147418732993795,run_006
lm_polarity_qa,0.03852922493508674,run_006
lm_positive_pr,0.21697223360734832,run_006
lm_positive_qa,-0.06697673359917114,run_006
lm_subjectivity_pr,0.16600240921396056,run_006
lm_subjectivity_qa,0.0872639610006168,run_006
lm_subjectivity_zscore_pr,-0.0554834387201322,run_006
lm_subjectivity_zscore_qa,-0.0991255778944435,run_006
lm_uncertainty_pr,0.3071374003237814,run_006
lm_uncertainty_qa,0.22706364655369451,run_006
lm_uncertainty_zscore_pr,-0.14684881122275736,run_006
lm_uncertainty_zscore_qa,0.025810224376882882,run_006
n_sentences_pr,0.11630007464123249,run_006
n_sentences_qa,-0.2041282197878129,run_006
n_words_pr,-0.11920955043308082,run_006
n_words_qa,-0.011521452735900101,run_006
pronoun_plural_ratio_pr,0.008683397359573011,run_006
pronoun_plural_ratio_qa,-0.05376162194458224,run_006
pronoun_plural_ratio_zscore_pr,-0.002405342830093666,run_006
pronoun_plural_ratio_zscore_qa,0.012913411805238969,run_006
smog_index_pr,0.07004641392219789,run_006
smog_index_qa,0.1613350714184408,run_006
words_per_sentence_pr,-0.2538506933261309,run_006
words_per_sentence_qa,-0.02536634914505675,run_006
words_per_sentence_zscore_pr,0.08118699474469107,run_006
words_per_sentence_zscore_qa,-0.10067119460864192,run_006
adverb_ratio_pr,0.12722498486963313,run_007
adverb_ratio_qa,-0.06367579928289677,run_007
adverb_ratio_zscore_pr,0.07895915535410251,run_007
adverb_ratio_zscore_qa,0.10793957367901755,run_007
automated_readability_pr,0.3284497040155928,run_007
automated_readability_qa,-0.03323142860131982,run_007
coleman_liau_pr,-0.0019483844738361813,run_007
coleman_liau_qa,0.11756229926526676,run_007
dale_chall_pr,0.12761492726109347,run_007
dale_chall_qa,0.07773593807100854,run_007
flesch_ease_pr,0.12421249966583864,run_007
flesch_ease_qa,0.2121374755708806,run_007
flesch_kincaid_pr,-0.1192015844834716,run_007
flesch_kincaid_qa,-0.32910053842466447,run_007
gunning_fog_pr,-0.180701194093466,run_007
gunning_fog_qa,0.02949442102901176,run_007
